pic1,pic2
apricot,eggplant
apricot,fireextinguisher
artichoke,fox
artichoke,strawberry
avocado,firemanhat
avocado,greekcolumn
avocado,iguana
avocado,orange
avocado,sheep
avocado,tire
banana,blueberries
banana,swan
baseball,hockeypuck
baseball,walkietalkie
baseballmitt,coconut
baseballmitt,greenbeans
baseballmitt,noentrysign
basketball,cherries
basketball,lobster
basketball,polarbear
basketball,record
basketball,smokedetector
bison,polarbear
bison,sheep
blueberries,wholewatermelon
broccoli,peapod
cactus,firetruck
cactus,mailbox
camera,celery
camera,frog
cardinal,chinesefoodcarton
carrot,pumpkin
cauliflower,celery
cauliflower,firetruck
cauliflower,lemon
cauliflower,tennisball
celery,lime
celery,penguin
cherries,eggplant
cherries,elephant
cherries,fireextinguisher
cherries,watermelonslice
chick,chinesefoodcarton
chinesefoodcarton,stocking
cigar,moviecamera
cigar,raspberry
coconut,garlic
coconut,kiwihalf
coconut,snowflake
corncob,egg
corncob,lemon
corncob,tank
crocodile,football
crosswalksign,golfball
crosswalksign,ketchup
crosswalksign,piano
crosswalksign,polarbear
crosswalksign,sheep
crosswalksign,walkietalkie
cucumber,egg
cucumber,potato
cucumber,rhinoceros
driedcorn,lobster
driedcorn,santahat
egg,garlic
egg,greenbeans
egg,lion
egg,piano
eggplant,rhinoceros
eggplant,speaker
elephant,pickle
firehydrant,iguana
firehydrant,lime
firehydrant,schoolbus
firehydrant,tire
firemanhat,golfball
firemanhat,sheep
frog,walkietalkie
golfball,tooth
grapefruithalves,swan
greekcolumn,penguin
greekcolumn,schoolbus
greekcolumn,sideroadsign
handicappedparking,lion
hockeypuck,stocking
hockeypuck,wholewatermelon
iguana,schoolbus
ketchup,lemon
ketchup,pickle
ketchup,smokedetector
lemon,record
lemon,walkietalkie
lime,noentrysign
lion,tophat
mailbox,record
mailbox,sheep
mailbox,tennisball
mailbox,tiger
mailbox,turtle
orange,polarbear
peapod,schoolbus
peapod,weddingcake
penguin,stocking
penguin,zucchini
piano,rhinoceros
piano,tooth
pickle,santahat
pickle,speaker
pinkflamingo,trumpet
polarbear,tomato
pumpkin,sideroadsign
pumpkin,weddingcake
raspberry,smokedetector
rubberducky,schoolbus
smokedetector,wholewatermelon
tank,tomato
tennisball,turtle
tire,tomato
tooth,wholewatermelon
trafficcone,wreath
